state,date,zhvi,RegionID,SizeRank,RegionType,StateName,mortgage_rate,cpi,unemployment_rate,median_household_income,monthly_rate,loan_amount,monthly_payment,monthly_income,affordability_ratio
Alabama,2010-09-30,126245.48675908986,4,23,state,,4.346,218.275,9.5,68420.0,0.0036216666666666667,100996.3894072719,628.7795253130456,5701.666666666667,9.06783130991427
Alabama,2010-10-31,125757.3814795757,4,23,state,,4.225,219.035,9.4,68420.0,0.003520833333333333,100605.90518366056,619.2066357806909,5701.666666666667,9.208019322141226
Alabama,2010-11-30,125190.24764042492,4,23,state,,4.3,219.59,9.8,68420.0,0.003583333333333333,100152.19811233995,620.8148744733804,5701.666666666667,9.184165684662805
Alabama,2010-12-31,124522.47708012532,4,23,state,,4.714,220.472,9.3,68420.0,0.003928333333333333,99617.98166410025,642.0175887935696,5701.666666666667,8.880857419157008
Alabama,2011-01-31,123809.34627786584,4,23,state,,4.755,221.187,9.1,67410.0,0.0039625,99047.47702229267,640.786421222056,5617.5,8.766571534532144
Alabama,2011-02-28,123190.34769369522,4,23,state,,4.9525,221.898,9.0,67410.0,0.004127083333333333,98552.27815495618,649.3830177880618,5617.5,8.650518794184691
Alabama,2011-03-31,122753.53669887326,4,23,state,,4.836,223.046,9.0,67410.0,0.00403,98202.82935909861,640.1288236439622,5617.5,8.775577340857936
Alabama,2011-04-30,122404.79234185314,4,23,state,,4.84,224.093,9.1,67410.0,0.004033333333333333,97923.83387348252,638.547472494674,5617.5,8.797309897811637
Alabama,2011-05-31,122138.84549747272,4,23,state,,4.6375,224.806,9.0,67410.0,0.003864583333333333,97711.07639797818,625.2413493157003,5617.5,8.984530543522292
Alabama,2011-06-30,121857.166574501,4,23,state,,4.51,224.806,9.1,67410.0,0.0037583333333333336,97485.7332596008,616.3824633350998,5617.5,9.113659674230567
Alabama,2011-07-31,121547.79231863268,4,23,state,,4.545,225.395,9.0,67410.0,0.0037874999999999996,97238.23385490615,616.8430016062576,5617.5,9.106855367365835
Alabama,2011-08-31,121232.85561567202,4,23,state,,4.27,226.106,9.0,67410.0,0.003558333333333333,96986.28449253761,599.4833325151949,5617.5,9.370569113958837
